# 1
cat|Кошка
closed|Закрытый
one|Один
two|Два
three|Три
four|Четыре
five|Пять
six|Шесть
seven|Семь
eight|Восемь
nine|Девять
ten|Десять
eleven|Одиннадцать
twelve|Двенадцать
twenty|Двадцать
hundred|Сотня
morning|Утро
afternoon|После полудня
evening|Вечер
night|Ночь
day|День
week|Неделя
month|Месяц
year|Год
today|Сегодня
tomorrow|Завтра
yesterday|Вчера
now|Сейчас
soon|Скоро
here|Здесь
there|Там
always|Всегда
never|Никогда
often|Часто
sometimes|Иногда
again|Снова
together|Вместе
alone|В одиночестве
# 3
run|Бежать
walk|Идти пешком
jump|Прыгать
swim|Плавать
fly|Летать
sit|Сидеть
stand|Стоять
sleep|Спать
wake|Просыпаться
eat|Есть пищу
drink|Пить
cook|Готовить еду
wash|Мыть
read|Читать
write|Писать
speak|Говорить
listen|Слушать
hear|Слышать
see|Видеть
look|Смотреть
watch|Наблюдать
smell|Чувствовать запах
touch|Касаться
think|Думать
know|Знать
learn|Учиться
teach|Обучать
study|Изучать
work|Работать
play|Играть
sing|Петь
dance|Танцевать
laugh|Смеяться
cry|Плакать
smile|Улыбка
love|Любить
like|Нравиться
want|Хотеть
need|Нуждаться
help|Помогать
give|Давать
take|Брать
bring|Приносить
carry|Нести
buy|Покупать
sell|Продавать
pay|Платить
find|Находить
lose|Терять
keep|Хранить
leave|Покидать
come|Приходить
go|Идти
arrive|Прибывать
return|Возвращаться
start|Начинать
finish|Заканчивать
stop|Останавливать
wait|Ждать
ask|Спрашивать
answer|Отвечать
call|Звонить
meet|Встречать
visit|Посещать
live|Жить
stay|Оставаться
move|Двигаться
turn|Поворачивать
push|Толкать
pull|Тянуть
throw|Бросать
catch|Ловить
kick|Пинать
hit|Ударять
cut|Резать
break|Ломать
build|Строить
fix|Чинить
draw|Рисовать
paint|Красить
count|Считать
choose|Выбирать
try|Пробовать
use|Использовать
wear|Носить одежду
hold|Держать
fall|Падать
climb|Взбираться
ride|Ехать верхом
drive|Водить машину
send|Отправлять
show|Показывать
share|Делиться
remember|Помнить
forget|Забывать
understand|Понимать
believe|Верить
hope|Надеяться
change|Менять
grow|Расти
# 4
airport|Аэропорт
station|Станция
ticket|Билет
train|Поезд
plane|Самолёт
bicycle|Велосипед
scooter|Самокат
boat|Лодка
ship|Корабль
truck|Грузовик
taxi|Такси
road|Дорога
bridge|Мост
traffic|Движение транспорта
map|Карта местности
hotel|Гостиница
beach|Пляж
island|Остров
mountain|Гора
forest|Лес
village|Деревня
country|Страна
capital|Столица
address|Адрес
passport|Паспорт
suitcase|Чемодан
journey|Путешествие
holiday|Праздник
weekend|Выходные
spring|Весна
summer|Лето
autumn|Осень
winter|Зима
weather|Погода
cloud|Облако
storm|Буря
fog|Туман
lake|Озеро
field|Поле
farm|Ферма
horse|Лошадь
cow|Корова
sheep|Овца
goat|Коза
pig|Свинья
chicken|Курица
duck|Утка
rabbit|Кролик
mouse|Мышь
lion|Лев
tiger|Тигр
bear|Медведь
wolf|Волк
fox|Лиса
elephant|Слон
monkey|Обезьяна
snake|Змея
frog|Лягушка
bee|Пчела
butterfly|Бабочка
ant|Муравей
spider|Паук
turtle|Черепаха
whale|Кит
dolphin|Дельфин
shark|Акула
kitchen|Кухня
bathroom|Ванная комната
bedroom|Спальня
garden|Сад
roof|Крыша
wall|Стена
floor|Пол
ceiling|Потолок
stairs|Лестница
sofa|Диван
mirror|Зеркало
shelf|Полка
carpet|Ковёр
pillow|Подушка
blanket|Одеяло
towel|Полотенце
soap|Мыло
brush|Щётка
comb|Расчёска
toothbrush|Зубная щётка
fridge|Холодильник
oven|Духовка
kettle|Чайник
bottle|Бутылка
bowl|Миска
pan|Сковорода
basket|Корзина
bucket|Ведро
rope|Верёвка
ladder|Приставная лестница
fence|Забор
gate|Ворота
yard|Двор
neighbor|Сосед
# 5
doctor|Врач
nurse|Медсестра
teacher|Учитель
student|Студент
driver|Водитель
farmer|Фермер
baker|Пекарь
chef|Шеф-повар
waiter|Официант
artist|Художник
singer|Певец
actor|Актёр
writer|Писатель
engineer|Инженер
scientist|Учёный
police|Полиция
firefighter|Пожарный
soldier|Солдат
lawyer|Юрист
manager|Руководитель
customer|Покупатель
patient|Пациент
hospital|Больница
medicine|Лекарство
health|Здоровье
pain|Боль
fever|Жар при болезни
cough|Кашель
blood|Кровь
heart|Сердце
brain|Мозг
stomach|Желудок
back|Спина
neck|Шея
shoulder|Плечо
knee|Колено
finger|Палец руки
tooth|Зуб
skin|Кожа
bone|Кость
money|Деньги
price|Цена
cost|Стоимость
cash|Наличные
coin|Монета
bank|Банк
wallet|Кошелёк
bill|Счёт к оплате
gift|Подарок
market|Рынок
restaurant|Ресторан
breakfast|Завтрак
lunch|Обед
dinner|Ужин
meal|Приём пищи
menu|Меню
salad|Салат
sandwich|Бутерброд
honey|Мёд
flour|Мука
pepper|Перец
cucumber|Огурец
cabbage|Капуста
grape|Виноградина
pear|Груша
peach|Персик
cherry|Вишня
strawberry|Клубника
watermelon|Арбуз
pumpkin|Тыква
mushroom|Гриб
nut|Орех
bean|Фасоль
pea|Горошина
corn|Кукуруза
yogurt|Йогурт
cream|Сливки
chocolate|Шоколад
cookie|Печенье
sausage|Колбаса
beef|Говядина
pork|Свинина
lamb|Ягнёнок
seafood|Морепродукты
lemonade|Лимонад
clothes|Одежда
dress|Платье
skirt|Юбка
trousers|Брюки
jacket|Куртка
sweater|Свитер
glove|Перчатка
scarf|Шарф
belt|Ремень
pocket|Карман
button|Пуговица
umbrella|Зонт
glasses|Очки
ring|Кольцо
necklace|Ожерелье
# 6
lesson|Урок
subject|Учебный предмет
homework|Домашнее задание
exam|Экзамен
grade|Оценка за учёбу
notebook|Тетрадь
dictionary|Словарь
language|Язык общения
sentence|Предложение в тексте
letter|Буква
word|Слово
question|Вопрос
example|Пример
mistake|Ошибка
rule|Правило
exercise|Упражнение
practice|Практика
skill|Навык
knowledge|Знание
education|Образование
university|Университет
library|Библиотека
history|История
geography|География
science|Наука
mathematics|Математика
art|Искусство
music|Музыка
sport|Спорт
team|Команда
player|Игрок
coach|Тренер
race|Гонка
match|Спортивный матч
goal|Цель
score|Игровой счёт
winner|Победитель
prize|Приз
competition|Соревнование
training|Тренировка
pool|Бассейн
stadium|Стадион
cinema|Кинотеатр
theater|Театр
museum|Музей
concert|Концерт
festival|Фестиваль
painting|Картина
photo|Фотография
camera|Фотоаппарат
newspaper|Газета
magazine|Журнал
story|Рассказ
novel|Роман
poem|Стихотворение
song|Песня
movie|Фильм
game|Игра
hobby|Увлечение
collection|Коллекция
computer|Компьютер
screen|Экран
keyboard|Клавиатура
printer|Принтер
speaker|Динамик
battery|Батарея
charger|Зарядное устройство
cable|Кабель
message|Сообщение
email|Электронное письмо
website|Сайт
password|Пароль
file|Файл
folder|Папка
program|Программа
network|Сеть
internet|Интернет
search|Поиск
news|Новости
advertisement|Реклама
meeting|Встреча
appointment|Запись на приём
office|Офис
company|Компания
business|Бизнес
job|Работа по найму
career|Карьера
salary|Зарплата
project|Проект
plan|План
report|Отчёт
schedule|Расписание
deadline|Крайний срок
task|Задача
result|Результат
success|Успех
failure|Неудача
problem|Проблема
solution|Решение проблемы
advice|Совет
# 7
accept|Принимать
refuse|Отказываться
agree|Соглашаться
disagree|Не соглашаться
decide|Решать
explain|Объяснять
describe|Описывать
compare|Сравнивать
improve|Улучшать
develop|Развивать
prepare|Подготавливать
organize|Организовывать
manage|Управлять
suggest|Предлагать идею
recommend|Рекомендовать
invite|Приглашать
promise|Обещать
apologize|Извиняться
thank|Благодарить
welcome|Приветствовать
celebrate|Праздновать
enjoy|Наслаждаться
prefer|Предпочитать
imagine|Представлять мысленно
notice|Замечать
recognize|Узнавать
realize|Осознавать
discover|Обнаруживать
invent|Изобретать
create|Создавать
produce|Производить
provide|Предоставлять
receive|Получать
collect|Собирать
save|Сберегать
spend|Тратить
borrow|Брать взаймы
lend|Давать взаймы
owe|Быть должным
afford|Позволить себе
order|Заказывать
deliver|Доставлять
pack|Упаковывать
unpack|Распаковывать
rent|Арендовать
booklet|Брошюра
cancel|Отменять
check|Проверять
confirm|Подтверждать
sign|Подписывать
include|Включать в состав
contain|Содержать
belong|Принадлежать
depend|Зависеть
happen|Случаться
seem|Казаться
appear|Появляться
disappear|Исчезать
continue|Продолжать
complete|Завершать
repeat|Повторять
replace|Заменять
remove|Удалять
add|Добавлять
reduce|Уменьшать
increase|Увеличивать
raise|Поднимать
lower|Опускать
reach|Достигать
follow|Следовать
lead|Возглавлять
join|Присоединяться
separate|Разделять
connect|Соединять
cover|Покрывать
protect|Защищать
prevent|Предотвращать
avoid|Избегать
allow|Разрешать
forbid|Запрещать
require|Требовать
support|Поддерживать
encourage|Ободрять
worry|Беспокоиться
relax|Расслабляться
rest|Отдыхать
breathe|Дышать
hurt|Причинять боль
heal|Заживать
recover|Выздоравливать
survive|Выживать
escape|Сбегать
hide|Прятать
seek|Искать
chase|Преследовать
fight|Сражаться
win|Побеждать
defeat|Побеждать противника
fail|Терпеть неудачу
succeed|Добиваться успеха
# 8
important|Важный
necessary|Необходимый
possible|Возможный
impossible|Невозможный
simple|Простой
complicated|Сложный по устройству
useful|Полезный
useless|Бесполезный
careful|Осторожный
careless|Небрежный
polite|Вежливый
rude|Грубый
honest|Честный
brave|Храбрый
clever|Сообразительный
wise|Мудрый
foolish|Глупый
lazy|Ленивый
active|Деятельный
creative|Творческий
curious|Любознательный
serious|Серьёзный
funny|Смешной
friendly|Дружелюбный
lonely|Одинокий
proud|Гордый
ashamed|Пристыженный
surprised|Удивлённый
excited|Взволнованный
bored|Скучающий
confused|Растерянный
confident|Уверенный
nervous|Нервничающий
calm|Спокойный
generous|Щедрый
selfish|Эгоистичный
jealous|Ревнивый
fair|Справедливый
unfair|Несправедливый
patiently|Терпеливо
reliable|Надёжный
responsible|Ответственный
independent|Независимый
popular|Популярный
famous|Знаменитый
ordinary|Обычный
special|Особенный
unique|Уникальный
strange|Странный
familiar|Знакомый
foreign|Иностранный
local|Местный
public|Общественный
private|Частный
modern|Современный
ancient|Древний
traditional|Традиционный
natural|Природный
artificial|Искусственный
physical|Физический
mental|Умственный
social|Социальный
personal|Личный
professional|Профессиональный
comfortable|Удобный
convenient|Подходящий по удобству
affordable|Доступный по цене
expensive|Дорогой
cheap|Дешёвый
valuable|Ценный
worthless|Ничего не стоящий
correct|Правильный
wrong|Неверный
accurate|Точный
rough|Шероховатый
smooth|Гладкий
sharp|Острый
blunt|Тупой
heavy|Тяжёлый
lightweight|Легковесный
thick|Толстый
thin|Тонкий
wide|Широкий
narrow|Узкий
deep|Глубокий
shallow|Мелководный
steep|Крутой склон
flat|Плоский
round|Круглый
square|Квадратный
straight|Прямой
curved|Изогнутый
solid|Твёрдый
liquid|Жидкий
fresh|Свежий
rotten|Гнилой
ripe|Спелый
raw|Сырой продукт
delicious|Вкусный
bitter|Горький
# 9
freedom|Свобода
justice|Правосудие
equality|Равенство
honesty|Честность
courage|Смелость
kindness|Доброта
patience|Терпение
respect|Уважение
trust|Доверие
loyalty|Преданность
friendship|Дружба
relationship|Взаимоотношение
community|Сообщество
society|Общество
culture|Культура
tradition|Традиция
custom|Обычай
belief|Убеждение
religion|Религия
faith|Вера
opinion|Мнение
attitude|Отношение к чему-либо
behavior|Поведение
habit|Привычка
character|Характер
personality|Личность
emotion|Эмоция
feeling|Чувство
happiness|Счастье
sadness|Грусть
anger|Гнев
fear|Страх
joy|Радость
surprise|Неожиданность
shame|Стыд
guilt|Вина
pride|Гордость
envy|Зависть
confidence|Уверенность
anxiety|Тревога
stress|Стресс
peace|Мир без войны
war|Война
conflict|Конфликт
agreement|Соглашение
argument|Спор
reason|Причина
purpose|Предназначение
intention|Намерение
decision|Принятое решение
choice|Выбор
chance|Шанс
risk|Риск
benefit|Выгода
advantage|Преимущество
disadvantage|Недостаток
experience|Опыт
memory|Память
attention|Внимание
concentration|Сосредоточенность
effort|Усилие
progress|Прогресс
improvement|Улучшение
development|Развитие
growth|Рост
achievement|Достижение
ability|Способность
talent|Талант
potential|Потенциал
opportunity|Возможность
challenge|Сложная задача
difficulty|Трудность
obstacle|Препятствие
limit|Предел
balance|Равновесие
quality|Качество
quantity|Количество
value|Ценность
importance|Важность
necessity|Необходимость
possibility|Вероятная возможность
reality|Реальность
truth|Истина
lie|Ложь
fact|Факт
evidence|Доказательство
research|Исследование
theory|Теория
method|Метод
process|Процесс
system|Система
structure|Структура
pattern|Закономерность
principle|Принцип
concept|Понятие
idea|Идея
thought|Мысль
imagination|Воображение
curiosity|Любопытство
responsibility|Ответственность
# 10
hospitality|Гостеприимство
perseverance|Настойчивость
resilience|Стойкость
compassion|Сострадание
empathy|Сопереживание
integrity|Принципиальность
humility|Смирение
gratitude|Благодарность
ambition|Честолюбие
determination|Решимость
initiative|Инициатива
innovation|Нововведение
ingenuity|Изобретательность
insight|Проницательность
foresight|Предвидение
wisdom|Мудрость
awareness|Осведомлённость
consciousness|Сознание
perception|Восприятие
intuition|Интуиция
assumption|Предположение
hypothesis|Гипотеза
conclusion|Заключение
interpretation|Толкование
evaluation|Оценивание
assessment|Экспертная оценка
criterion|Критерий
perspective|Точка зрения
approach|Подход
strategy|Стратегия
implementation|Осуществление
execution|Исполнение
coordination|Координация
collaboration|Совместная работа
negotiation|Переговоры
compromise|Компромисс
consensus|Единодушие
controversy|Полемика
dilemma|Дилемма
contradiction|Противоречие
ambiguity|Неоднозначность
uncertainty|Неопределённость
inevitability|Неизбежность
consequence|Последствие
implication|Подразумеваемый смысл
influence|Влияние
impact|Воздействие
contribution|Вклад
commitment|Приверженность
obligation|Обязательство
accountability|Подотчётность
transparency|Прозрачность
sustainability|Устойчивое развитие
efficiency|Эффективность затрат
productivity|Производительность
profitability|Прибыльность
scarcity|Дефицит
abundance|Изобилие
prosperity|Процветание
poverty|Бедность
inequality|Неравенство
prejudice|Предубеждение
discrimination|Дискриминация
diversity|Разнообразие
inclusion|Вовлечение всех
integration|Интеграция
adaptation|Приспособление
transformation|Преобразование
transition|Переход
revolution|Революция
evolution|Эволюция
civilization|Цивилизация
heritage|Наследие
legacy|Оставленное наследие
identity|Самобытность
sovereignty|Суверенитет
democracy|Демократия
bureaucracy|Бюрократия
legislation|Законодательство
jurisdiction|Юрисдикция
constitution|Конституция
amendment|Поправка к закону
regulation|Нормативное правило
compliance|Соблюдение требований
violation|Нарушение
litigation|Судебное разбирательство
reconciliation|Примирение
rehabilitation|Реабилитация
restoration|Восстановление
preservation|Сохранение
conservation|Охрана природы
biodiversity|Биоразнообразие
ecosystem|Экосистема
habitat|Среда обитания
extinction|Вымирание
pollution|Загрязнение
emission|Выброс
renewable|Возобновляемый
biodegradable|Биоразлагаемый
interdependence|Взаимозависимость
