cat|mushuk
ordinary|odatiy
special|maxsus
unique|noyob
strange|g‘alati
familiar|tanish
foreign|xorijiy
local|mahalliy
public|jamoatga oid
private|xususiy
modern|zamonaviy
ancient|qadimiy
traditional|an’anaviy
natural|tabiiy
artificial|sun’iy
physical|jismoniy
mental|aqliy
social|ijtimoiy
personal|shaxsiy
professional|kasbiy
comfortable|qulay
convenient|qulaylik jihatidan mos
affordable|hamyonbop
expensive|qimmat
cheap|arzon
valuable|qadrli
worthless|qadrsiz
correct|to‘g‘ri
wrong|noto‘g‘ri
accurate|aniq
rough|g‘adir-budur
smooth|silliq
sharp|o‘tkir
blunt|o‘tmas
heavy|og‘ir
lightweight|yengil
thick|qalin
thin|yupqa
wide|keng
narrow|tor
deep|chuqur
shallow|sayoz
steep|tik qiyalik
flat|yassi
round|dumaloq
square|kvadrat shaklli
straight|to‘g‘ri
curved|egilgan
solid|qattiq
liquid|suyuq
fresh|yangi
rotten|chirigan
ripe|pishgan
raw|xom
delicious|mazali
bitter|achchiq
freedom|erkinlik
justice|odil sudlov
equality|tenglik
honesty|halollik
courage|jasorat
kindness|mehribonlik
patience|sabr
respect|hurmat
trust|ishonch
loyalty|sadoqat
friendship|do‘stlik
relationship|o‘zaro munosabat
community|hamjamiyat
society|jamiyat
culture|madaniyat
tradition|an’ana
custom|urf-odat
belief|e’tiqod
religion|din
faith|imon
opinion|fikr
attitude|munosabat
behavior|xulq-atvor
habit|odat
character|fe’l-atvor
personality|shaxsiyat
emotion|hissiyot
feeling|tuyg‘u
happiness|baxt
sadness|g‘am
anger|g‘azab
fear|qo‘rquv
joy|quvonch
surprise|kutilmagan hodisa
shame|uyat
guilt|ayb
pride|faxr
envy|hasad
confidence|o‘ziga ishonch
anxiety|tashvish
stress|stress
peace|tinchlik
war|urush
conflict|nizo
agreement|kelishuv
argument|bahs
reason|sabab
purpose|vazifa va maqsad
intention|niyat
decision|qaror
choice|tanlov
chance|imkon
risk|tavakkal
benefit|foyda
advantage|ustunlik
disadvantage|kamchilik
experience|tajriba
memory|xotira
attention|diqqat
concentration|diqqatni jamlash
effort|sa’y-harakat
progress|taraqqiyot
improvement|yaxshilanish
development|rivojlanish
growth|o‘sish
achievement|yutuq
ability|qobiliyat
talent|iste’dod
potential|salohiyat
opportunity|imkoniyat
challenge|murakkab vazifa
difficulty|qiyinchilik
obstacle|to‘siq
limit|chegara
balance|muvozanat
quality|sifat
quantity|miqdor
value|qadriyat
importance|muhimlik
necessity|zarurat
possibility|ehtimoliy imkoniyat
reality|voqelik
truth|haqiqat
lie|yolg‘on
fact|fakt
evidence|dalil
research|tadqiqot
theory|nazariya
method|usul
process|jarayon
system|tizim
structure|tuzilma
pattern|qonuniyat
principle|tamoyil
concept|tushuncha
idea|g‘oya
thought|o‘y
imagination|tasavvur
curiosity|qiziqish
responsibility|mas’uliyat
hospitality|mehmondo‘stlik
perseverance|qat’iyat
resilience|bardoshlilik
compassion|rahm-shafqat
empathy|hamdardlik
integrity|prinsipiallik
humility|kamtarlik
gratitude|minnatdorchilik
ambition|shuhratparastlik
determination|qat’iy qaror
initiative|tashabbus
innovation|yangilik kiritish
ingenuity|topqirlik
insight|farosat
foresight|oldindan ko‘ra bilish
wisdom|donolik
awareness|xabardorlik
consciousness|ong
perception|idrok
intuition|ichki sezgi
assumption|taxmin
hypothesis|gipoteza
conclusion|xulosa
interpretation|talqin
evaluation|baholash
assessment|ekspert bahosi
criterion|mezon
perspective|nuqtai nazar
approach|yondashuv
strategy|strategiya
implementation|amalga oshirish
execution|ijro
coordination|muvofiqlashtirish
collaboration|hamkorlik
negotiation|muzokaralar
compromise|murosa
consensus|yakdillik
controversy|munozara
dilemma|ikkilanish
contradiction|ziddiyat
ambiguity|ko‘p ma’nolilik
uncertainty|noaniqlik
inevitability|muqarrarlik
consequence|oqibat
implication|nazarda tutilgan ma’no
influence|ta’sir
impact|ta’sir ko‘rsatish
contribution|hissa
commitment|sodiqlik
obligation|majburiyat
accountability|hisobdorlik
transparency|shaffoflik
sustainability|barqaror rivojlanish
efficiency|xarajatlar samaradorligi
productivity|unumdorlik
profitability|daromadlilik
scarcity|tanqislik
abundance|mo‘l-ko‘llik
prosperity|farovonlik
poverty|kambag‘allik
inequality|tengsizlik
prejudice|xurofot
discrimination|kamsitish
diversity|xilma-xillik
inclusion|barchani jalb etish
integration|integratsiya
adaptation|moslashuv
transformation|o‘zgarish
transition|o‘tish
revolution|inqilob
evolution|evolyutsiya
civilization|sivilizatsiya
heritage|meros
legacy|qoldirilgan meros
identity|o‘ziga xoslik
sovereignty|suverenitet
democracy|demokratiya
bureaucracy|byurokratiya
legislation|qonunchilik
jurisdiction|yurisdiksiya
constitution|konstitutsiya
amendment|qonunga tuzatish
regulation|me’yoriy qoida
compliance|talablarga rioya qilish
violation|qoidabuzarlik
litigation|sud muhokamasi
reconciliation|yarashuv
rehabilitation|reabilitatsiya
restoration|tiklash
preservation|saqlash
conservation|tabiatni muhofaza qilish
biodiversity|biologik xilma-xillik
ecosystem|ekotizim
habitat|yashash muhiti
extinction|qirilib ketish
pollution|ifloslanish
emission|chiqarib tashlash
renewable|qayta tiklanadigan
biodegradable|biologik parchalanadigan
interdependence|o‘zaro bog‘liqlik
